Order,Run.Num,Run.Date,Run.Plant,Flower number,Site,Site.Type,Species,Plant,er.1 hexanol,er.2-amino phenyl ethenone,er.2-phenyl ethanol,"er.2,6-dimethyl-1,3,5,7 octatetraene (trans)",er.6-methyl-5-hepten-2-one,er.alloaromadendrene,er.alpha bergamotene,er.alpha humulene,er.alpha pinene,er.alpha terpineol,er.alpha tirpenene,er.alpha tirpenolene,er.benzyl acetate,er.benzyl alcohol,er.beta cadinene,er.beta farnesene,er.beta longipinene,er.beta myrcene,er.beta phellandrene,er.beta pinene,er.borneol,er.caryophyllene oxide,er.cinnamic alcohol,er.cis 3 hexen 1 ol,er.cis 3 hexen 1 ol,er.cis beta ocimene,er.cis jasmone,er.DMNT,er.gamma cadinene,er.gamma tirpenene,er.geraniol,er.germacrene D,er.intermedeol,er.limonene,er.linalool,er.methyl nicotinate,er.methyl salicylate,er.myroxide,er.naphthalene,er.para cymene,er.patchoulane,er.sabinene,er.sabinene hydrate,er.terpinen-4-ol,er.trans 2 hexen 1 ol,er.trans beta caryophyllene,er.trans beta ocimene,er.trans cinnamic aldehyde,er.trans DMNT,er.trans trans alpha farnesene,er.unknown C15H24,er.unknown sesqui,er.veratrole,er.verbenone,N.compounds,
14,301,29-Jan,8,8,GUL,One,Cyl,35,0,0,0,3.05E-05,0,8.13E-05,0,5.40E-05,0,0,0,0,0,0,0.003199778,0,0.000853627,0,0,0,0,0,1.08E-05,0,0,0.000450077,0,0,5.40E-05,0.00E+00,0,0,0.007996526,0,0,0,0,0.000250303,0.000632144,0,0,0,0,0,0.001022444,0.001400817,0.00745653,0,0,0,0,5.84E-05,0,0,15,
15,302,29-Jan,9,9,GUL,One,Cyl,30,0,0,0,0,0,9.68E-05,6.03E-05,3.92E-06,0,0,0,0,0,0,0.00295858,0,0.000807058,0,0,0,0,0,0,0.000555876,0,0.000188528,0,0,0,0.00E+00,0,0,0.007577739,0,6.63E-05,0,0,0,0.000594356,0,0,0.00E+00,0,0,0,0.000661626,0.003248768,0,0,0.000157529,0,0.00017917,0,0,14,
16,3,13-Nov,3,9,MHG,One,Cyl,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001088741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000368087,0.004495945,0,0,0,0,0,0.000217944,0,0,0,0,0,0,0.00E+00,0.005174665,2.72E-05,0,0,0,1.25E-05,0,0,7,
17,13,13-Nov,18,8,MHG,One,Cyl,2,0,0,0,0,0,0,0,0,0,0,0,0,4.18E-05,0,0.001033219,0,0,0,0,0,0,0,0,0.002285179,0,0,0,0,0,0,0,0.000371147,0.0062686,0,0,0,0,0,0.000323026,0,0,0,0,0,0,0,0,7.74E-05,0,0,0,0,0,0,7,
18,17,14-Nov,3,7,MHG,One,Cyl,1,0,0,0,0,0,0,0,0,0,0,0,0,1.94E-05,0.000524606,0.001104413,0,0,0,7.99E-05,0,0,0,0,0,0,0,0,0,0,5.37E-05,0,0.000284813,0.00449966,0,0,0,0,0,0.000262452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
19,19,14-Nov,5,7,MHG,One,Cyl,3,0.000888967,0,0,0,0,0,0.000805679,0,0,7.37E-05,0,0,4.15E-05,0.000765515,0.001142803,0,0,0,9.93E-05,0,0,0,0,0.004402026,0,0,0,0,0,3.49E-05,0,0.000539184,0.004309545,0,0,0,0,0,0.000373703,0,0,0,0,0,0.001222709,0,0.00292709,0,0,0,0,0,0.000127912,0,15,
20,43,15-Nov,15,7,MHG,One,Cyl,6,0,0,0,0,0,0,0,0,1.24E-05,0.000179191,0,0,0,0.000331376,0.000424089,0,9.74E-05,4.25E-05,0,0,0,0,0,0,0,0.000360083,0,0,0,0,0,0,0.002197474,0,0,0,0.00E+00,0,4.63E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
21,57,17-Nov,9,7,MHG,One,Cyl,4,0,0,0,0,0,0,0,0.00E+00,0,5.93E-05,0,0,0,0.00011322,0.001477395,0,2.19E-05,0.000185844,8.31E-06,0,0,0,0,0,0,0.000428239,0,0,0,0,0,0.000379726,0.004482478,0.000320581,0,0,0,0,0.000161273,0,0,0,0,0,0.009330773,0,0,0,0,0,0,0,0,0,12,
22,135,1-Dec,3,8,MHG,One,Cyl,12,0,0,0,0,0,0,0,0,1.16E-05,0,0,0,0,8.10E-05,0.000802387,0,0,8.43E-05,1.50E-05,1.20E-05,0,0,0,0,0,0,0,0,0,0,0,0.000283154,0.001046088,0,0,0,0,0,0.000136614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
23,141,1-Dec,11,8,MHG,One,Cyl,8,0.000625009,0,0,0,0.003676679,0,0,0,0,0,0,0,5.33E-05,0.000516439,0.003709191,7.20E-05,0.00055596,8.74E-05,9.67E-05,0,0,0,0,0,0,0.000239762,0.000123688,0,0,0,0,0.000264632,0.008253663,0.001469621,0,0,0,0,0.00082245,0,0,0,0,0,0,0,0,0,0,0,0,6.18E-05,3.17E-06,0,17,
