Order,Run.Num,Run.Date,Run.Plant,Flower number,Site,Site.Type,Species,Plant,er.1 hexanol,er.2-amino phenyl ethenone,er.2-phenyl ethanol,"er.2,6-dimethyl-1,3,5,7 octatetraene (trans)",er.6-methyl-5-hepten-2-one,er.alloaromadendrene,er.alpha bergamotene,er.alpha humulene,er.alpha pinene,er.alpha terpineol,er.alpha tirpenene,er.alpha tirpenolene,er.benzyl acetate,er.benzyl alcohol,er.beta cadinene,er.beta farnesene,er.beta longipinene,er.beta myrcene,er.beta phellandrene,er.beta pinene,er.borneol,er.caryophyllene oxide,er.cinnamic alcohol,er.cis 3 hexen 1 ol,er.cis 3 hexen 1 ol,er.cis beta ocimene,er.cis jasmone,er.DMNT,er.gamma cadinene,er.gamma tirpenene,er.geraniol,er.germacrene D,er.intermedeol,er.limonene,er.linalool,er.methyl nicotinate,er.methyl salicylate,er.myroxide,er.naphthalene,er.para cymene,er.patchoulane,er.sabinene,er.sabinene hydrate,er.terpinen-4-ol,er.trans 2 hexen 1 ol,er.trans beta caryophyllene,er.trans beta ocimene,er.trans cinnamic aldehyde,er.trans DMNT,er.trans trans alpha farnesene,er.unknown C15H24,er.unknown sesqui,er.veratrole,er.verbenone,N.compounds,
57,271,22-Jan,10,6,DVT,Two,Cyl,34,0,0,0,0,0,0,0,0.000199944,0,0,0,0,0,0,0.00070995,0,0,0,0,0,0,0.000141752,1.81E-05,0,0,0,0,0,0,0,0,0.00019751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007816523,0,0,0,0,0,0.000217563,0,7,
58,288,24-Jan,11,8,DVT,Two,Cyl,36,0,0,0,0,0,1.43E-05,0,0,0,0,0,0,0,0.001428922,0.001831019,0,0.000314486,0.00011404,3.97E-05,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0.000137468,0.004444376,0,0,0,0,0,0.000465719,0,0,0,0,0,0,0,0,5.43E-05,0,0,0,3.81E-05,0.000238327,0,12,
59,289,24-Jan,12,7,DVT,Two,Cyl,33,0,0,0,0,0.002794548,0,0,0,0,0,0,0,8.62E-06,0.003833807,0.001741326,0,0,1.88E-05,3.15E-05,0,0,0,0.000106042,0.005343978,0,0,0,0,0,0,0,0.000264145,0,0,0,0,0,0,0.000153476,0,0,0,0,0,0,0,0.00E+00,0.000215897,0,0,0,0,0.000235509,0,12,
60,292,24-Jan,15,8,DVT,Two,Cyl,32,0,0,0,0,0.001648892,0,0.00015319,0.000110426,0,0,0,0,1.33E-05,0,0.000998728,0,0,0.000107475,2.08E-05,0,0,0.0001054,0,0,0,0.000506777,0,0,0,0,0,0.000334138,0,0,0,0,0.00E+00,0,9.90E-05,0,0,0,0,0,0,0,0.006250276,0,0,1.93E-05,0,0,0.000230036,0,14,11.6
61,12,13-Nov,16,9,NP,Two,Cyl,1,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0.001336943,0,0,0,0,1.56E-06,0,0,0,0,0,0.000639442,0,0,0,0.00E+00,0,0.000417581,0.005664593,0,0,0,0,0,0.000270545,0,0,0,0,0,0,0,0.008500808,0,0,0,0,0,0.000266751,0,8,
62,21,14-Nov,8,8,NP,Two,Cyl,3,0.000365805,0,0,0,0,0,0,8.01E-05,0,0.00E+00,0,0,0,0.000651909,0.000119289,0,0,0,0,0,0,0,0,0,0,0.000268096,0,0,0,0,0.000841983,0,0.000399953,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0.000356501,0.005987698,0,0,0,0,0,6.18E-05,0,10,
63,126,30-Nov,16,10,NP,Two,Cyl,8,0.000442954,0,0,0,0,2.91E-05,0,0.000445268,0,0.00E+00,0.000819857,0,0.00E+00,0.000868175,0.001306807,0,0.000221745,0,0.002981534,4.51E-06,0,0,0,0,0,0.00E+00,0,0,0,5.92E-05,0,0.000113513,0.004221086,0,0,0,0.00E+00,0,0.000304943,0,0,0,0,0,0.000534311,0.004067571,0,0,0,0,0,0,0.000464841,0,16,
64,137,1-Dec,6,11,NP,Two,Cyl,12,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0.00E+00,0.001032618,0.001802302,3.44E-05,0.000454301,0,3.93E-05,0,0,0,0,0,0,0.000261344,0,0,0,0,0.000786024,0.00013913,0.00605246,0,0,0,0,0,0.000468347,0,0,0,0,0,0.000596561,0,0.005376577,2.74E-05,0,0,0,0.000144341,9.76E-05,0,15,
65,139,1-Dec,8,8,NP,Two,Cyl,10,0.000629241,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0.002210732,0.000925679,0,0,0,5.33E-05,0,0,0,0,0,0,0,0,0,0,0,2.52E-05,0.000542085,0,0,0,0,0,0,0.000292515,0,0,0,0,0,0.001170264,0,0,0,0,0,0,0,0.000147989,0,9,
66,151,6-Dec,4,9,NP,Two,Cyl,7,0.000804082,0,0,0,0,0,0,0.000132157,0,0.00E+00,0,0,0.00E+00,0.000869634,0.005420502,0.00018823,0.000995494,0.000534837,0,1.37E-05,0,0,0,0,0,0.001095973,0,0,0,0,7.25E-05,0.000588209,0.009619205,0,0,0,0,0,0.00135617,0,0,0,0,0,0.001050804,0.001119892,0.017972361,6.70E-06,0,0.00E+00,0,0.000348999,0.000260705,0,19,
67,185,12-Jan,12,10,NP,Two,Cyl,20,0,0,0,0,0,5.69E-05,0.0003452,0.000611321,0,0.00E+00,0,0,0,0,0.001881528,0,0.000387376,0,0,2.88E-05,0,3.09E-06,0,0,0,0.000232378,0,0,0,0,0,0.000221596,0.002459673,0,0,0,0,0,0.000356941,0,0,4.59E-06,0,0,0.000514438,0.005396223,0.004958119,0,0,0.00E+00,0,6.43E-05,0,0,16,
68,206,13-Jan,13,6,NP,Two,Cyl,35,0.000751922,0,0,0,0.002204797,0,0,0,0,0.00E+00,0,0,0.00E+00,0.002123873,0.001868463,0,0.000434609,0,6.63E-05,0,0,0,5.06E-05,0,0,0.00E+00,0,0,0,0,5.99E-05,0.000361541,0.006923554,0,0.000120022,0,0,0,0.000440392,0,0,0,0,0,0.001267456,0.001483387,0,0,0,0,0,0.000109717,0.00014068,0,16,
69,236,15-Jan,8,8,NP,Two,Cyl,30,0,0,0,5.55E-05,0,0,0,0.000390398,0,0,0,0,0,0,0.002111386,0,0.000181161,0,0,0,0,0.000280798,8.27E-05,0,0,0.000906766,0,0,0,0,0.000336805,0.000256259,0.002603733,0,0.000276286,0,0,0.000497417,8.72E-05,0,0,0,0,0,0,0.004243142,0.014222122,0.000116547,4.89E-05,0,0,5.46E-06,0.00037538,0,19,
70,240,15-Jan,12,6,NP,Two,Cyl,34,0,0,0,0,0,0,0,4.69E-05,0,0,0,0,0,0,0.001915561,0,0,0,0,0,0,0,0,0,0,0.000360199,0,0,0,0,1.61E-05,0.000199957,0.002563977,0,0,0,0,0,0.000198951,0,0,0,0,0,0.001448289,0.001313685,0,0,0,0,0,0,0.000373351,0,10,
71,251,20-Jan,6,9,NP,Two,Cyl,21,0,0,0,0,0.00110578,0.000107674,0.000264051,0.000110494,0,0,3.44E-05,0,0,0,0.00358464,0,0.000815252,0,0,0,0,0.000682179,0,0,0,0.000229813,0,0,0,0,1.48E-05,0.000102714,0.009175519,0,0,0,0.001391102,0.000394353,0.001166339,0,0,1.56E-05,0,0,0,0.002814914,0.003928362,0.000429985,0,0,0,0.000396266,0.000949335,0,21,
72,260,20-Jan,15,8,NP,Two,Cyl,31,0,0,0,0.000179784,0.00088166,0.000123556,0,0.000244687,0,0,0,0,0,0,0.003862392,0,0.000377004,0.001109226,0,0,0,0.000108854,0,0,0,0.001031203,0,0,0,0,0.001449317,0.0002841,0.00845696,0,0,0,0.000900496,0,0.000597806,0,0,3.77E-06,0,0,0.001038502,0.002816195,0.019520744,0.000101042,0,0,0,0.000621163,0.000741436,0,21,
73,267,22-Jan,5,7,NP,Two,Cyl,33,0,0,0,0,0,0.000240532,0,0.000925296,0,0,0,0,0,0,0.005637423,0,0.000817127,0,0,0,0,0.000821983,0,0,0,0.001576096,0,0,0,0,0,0.00065411,0.016354013,0,0,0,0,0.002166825,0.001655332,0,0,0,0,0,0,0.008211424,0.026754773,0.000524018,0,0,0,0.000556522,0.000577863,0,15,
74,279,22-Jan,18,9,NP,Two,Cyl,32,0,0,0,3.53E-05,0,0.000237829,0.000318833,0.00020909,0,0,0,0,0,0,0.005647401,0,0.001102807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098099,0.015581048,0,0,0,0,0,0.001428262,0,0,4.00E-05,0,0,0,0.002618754,0,0.000942745,0,0,0,0.000511945,0.000240223,0,14,
75,310,5-Feb,5,7,NP,Two,Cyl,38,0.000694177,0,0,0,0.00084087,0,0,9.15E-05,0.00E+00,0.00E+00,0,0,0,0.001542793,0.003458361,0.000127545,0.000593578,0,5.36E-05,0,0,9.19E-05,0,0,0,0,0,0,0,0.00E+00,0.000170527,0.000313627,0.009273728,0,0,0,0,0.000496778,0.000768075,0,0,0,0,0,0,0.002711547,0.005659303,3.31E-05,0,0,0,0.000122519,0.000128229,0,19,16.46666667
76,130,30-Nov,20,8,SC,Two,Cyl,4,0,0,0,0,0.002094888,0,0.001840617,0.000570954,0,0,0.001445143,0,0.00E+00,0,0.001837835,0,9.91E-05,0,0.006398578,1.41E-05,0,0.00012811,0,0,0,0,2.06E-05,0,0,0,5.29E-05,0,0.005205453,0.002329345,0,0,0,0,0.000632283,0,0,0,0,0,0,0.005093836,0,9.91E-05,0,0.000168559,0,0,0.000296082,0,18,
77,131,30-Nov,21,12,SC,Two,Cyl,12,0,0,0,0.000433154,0.000987393,4.27E-05,0.000730996,0.000607783,0,0.00E+00,0.000948478,0,0.00E+00,0.002029773,0.00268268,0,0.000406204,0,0.003857327,0,0,3.85E-05,0.000677237,0,0,0.001693406,6.61E-05,0,0,0,0.001106253,0,0.006685738,0.001365523,0,0,0,0,0.000724042,0,0,6.08E-05,0.000187794,0,0,0.002628748,0.038816011,0.000175085,0,0.000181978,0,0,0.0001277,0,25,
78,136,1-Dec,4,8,SC,Two,Cyl,8,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0.00E+00,0,0.001469179,0,0,0,0.000107278,0,0,0,0,0,0,0,0,0,0,0,0.000172642,0,0.002755519,0.001551086,0,0,0,0,0.000209472,0,0,0,0,0,0,0,0.013469004,0,0,1.41E-05,0,0,0.000600708,0,9,
79,152,6-Dec,5,8,SC,Two,Cyl,9,0,0,0,0,0,0,0.000195236,0,0,0.00E+00,0,0,0.00025457,0.002129813,0.002996329,0,0.000278351,0,5.68E-05,0,0,8.73E-05,5.82E-05,0,0,0,0,0,0,0,0,0,0.008424476,0.00089238,0,0,0,0,0.000749675,0,0,0,0,0,0,0.003437193,0,7.36E-05,0,0,0,4.76E-05,0.000213385,0,15,
80,159,11-Dec,3,10,SC,Two,Cyl,10,0,0,0,0,0,0,0,0,0,0.00E+00,6.66E-05,0,0.00E+00,0.004221457,0.001375579,0,0,0,0,0,0,0,0,0,0,0,3.37E-05,0,0,0.00E+00,0.001058669,0.000472251,0.002096276,0,0,0,0,0,0.000243809,0,0,0,0,0,0.000604388,0,0,1.91E-05,0,0,0,0,0.000265328,0,11,
81,165,11-Dec,9,8,SC,Two,Cyl,7,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.002233768,0.001327268,0,0.000463273,0,0,0,0,0,0,0,0,0,9.74E-05,0,0,0.00E+00,0,0.00E+00,0.001879255,0,0.000235178,0,0,0,0.000284327,0,0,0,0,0,0.000931092,0.00E+00,0,3.70E-05,0,0,0,5.80E-06,0.000269492,0,11,
82,186,12-Jan,14,10,SC,Two,Cyl,26,0,0,0,0,0,9.46E-05,0,0,0,0.00E+00,0,0,0,0,0.001866185,0,0.0002218,0.001954986,0,7.15E-06,0,0,0,0,0,0,0,0,0,0,5.84E-05,0,0.003942209,0,0,0,0,0,0.000582735,0,0,3.14E-05,0,0,0.000959213,0,0,4.21E-05,0,2.30E-05,0,0.000147045,3.44E-05,0,14,
83,210,13-Jan,17,7,SC,Two,Cyl,19,0,0,0,0,0.00142175,4.67E-05,0.000219527,0,0.00E+00,0.00E+00,0,0,0.000168372,0.001926189,0.002065313,0,0.000573747,0,6.78E-05,0,0,0,0,0,0,0,0,0,0,0,1.42E-05,0,0.002933707,0.000518562,0.00012753,0,0,0,0.000416724,0,0,0,0,0,0.001642102,0,0,2.72E-05,0,0,0,6.33E-06,3.67E-05,0,17,
84,222,14-Jan,12,8,SC,Two,Cyl,29,0,0,6.00E-06,0,0.000385558,0,0,0.00E+00,0,0.00E+00,0,0,0.000143061,0,0.000751103,0,0.000212578,0,0,4.45E-06,0,0,0,0,0,0,2.84E-05,0,0,0.00E+00,0.000384713,0,0.001215604,0,0,0,0,0,0.000217825,0,0,0.000334718,0,0,0.000853091,0,0,0.000152003,0,1.08E-05,0,0.000124242,0.000200881,0,16,
85,227,14-Jan,17,7,SC,Two,Cyl,20,0,0,0,1.26E-05,0.000926474,0,2.37E-05,0.000391871,0,0.00E+00,0,0,0.00E+00,0,0.001413308,0,0.000234084,0,0,0,2.80E-05,0.001130103,0,0,0,0.001092618,0,0,0,0,0.000294177,0,0.003048161,0.000489729,0,0,0,0,0.000170513,0,0,1.83E-05,0,0,0.001750022,0.006557931,0.014290432,0.000118931,0,0.000134151,0,9.44E-05,0.000209334,0,21,
86,232,15-Jan,4,7,SC,Two,Cyl,23,0,0,0,0,0,0,0,0.000543578,0,0,0,0,0,0.004782862,0.002484816,0,6.29E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003263984,0,0,0,0,0,0.000262306,0,0,0,0,0,0,0.005903027,0,0.000375319,0,0,0,6.00E-05,0.000616232,0,10,
87,256,20-Jan,11,9,SC,Two,Cyl,33,0,0,0,3.03E-05,0.000894047,0.000138458,0.00074987,0.001435089,0,0,0,0,0,0,0.00550794,0,0.000955036,0,0,0,0,0.000316577,0.000237957,0,0,0,0,0,2.03E-05,0.00E+00,4.80E-05,0.001091517,0.019562628,0.001576906,0,0,0,0,0.001342396,0,3.30E-05,3.87E-05,0,0,0,0.011449746,0.00865708,0.000213326,0,0.00013446,0,0,0.000163093,0,22,
88,263,20-Jan,18,9,SC,Two,Cyl,31,0,0,0,0,0.002204326,0.000117456,0,0.001008268,0,0.000533239,0,0,0,0,0.003913089,0,0.000578971,0,0,0,0,0.000256704,0.000230294,0,0,0,0,0,0,0,0,0,0.022181162,0.000702099,0,0,0,0.000915308,0.001103651,0,0,0,0,0,0,0.005514394,0.015755796,0.000128319,0,0,0,0.000573034,0.000251939,0,17,
89,291,24-Jan,14,7,SC,Two,Cyl,32,0,0,0,0,0.003742039,0.000159369,0.000549227,0,0,0,0,0,0,0.001646245,0.005305587,0,0.001849335,0,4.04E-05,0,0,0.000573916,5.19E-05,0,0,0,0,0,0,0.00E+00,0.000803334,0,0.018374243,0,0,0,0,0.000130695,0.001201047,0,0,0,0,0,0.00092605,0,0.016879614,0.000110308,0,0.000257991,0,0.000479193,0.00060492,0,19,
90,293,24-Jan,16,8,SC,Two,Cyl,30,0,0,0,0,0.003978178,0,0.000283473,0.00E+00,0,0.00047036,0,0,0.00E+00,0,0.001771721,0,0.000455721,0,0.000191654,0,0,0,0,0,0,0,2.59E-05,0,0,0.00E+00,0,0.000676219,0.003403434,0.001279297,0,0,0,0,0.000310776,0,0,0,0,0,0.000918238,0,0,2.06E-05,0,0,0,0,0.000160684,0,14,
91,7,13-Nov,10,8,DEL4,Four,Cyl,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000160074,0,0,0,0,0,0,0,0,0,0,0.000167092,0,0,0,6.16E-05,0,0.00E+00,0.001029789,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.003786698,0,0,0,0.000216096,0,5.51E-05,0,7,
92,9,13-Nov,12,8,DEL4,Four,Cyl,1,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0.000850296,0,0,0,0,0,0,0,0,0,0,0.000236085,0,0,0,0,0,0,0.002239541,0,0.000162526,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,4.47E-05,0,0.000298464,0,0,9.49E-05,0,7,
93,23,14-Nov,10,9,DEL4,Four,Cyl,2,0,0,0,0,0,0,0.000246235,0.00E+00,0,0,0,0,0,0.00040172,0.000420459,0,0.00E+00,0,9.13E-05,0,0,0,0,0,0,0.00E+00,0,0,0,0,2.49E-05,0,0.001257098,0,0,0,0.00E+00,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
94,34,15-Nov,3,12,DEL4,Four,Cyl,9,0.00028218,0,0,0,0,0,0,0,0.00E+00,5.29E-05,0,0,0.00E+00,0.000434642,0.000654612,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,4.59E-05,0,0,0.002021178,0,0,0,0,0,0,0,0.000374167,0,0,0,0.000861039,0,0,0,0,0,0,0,6.38E-05,0,9,
95,110,20-Nov,22,7,DEL4,Four,Cyl,3,0,0,0,0,0,0,0,0,0,9.42E-05,0,0,0.000120094,0,0.000240824,0,0,0,0,2.25E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000966734,0,0,4.65E-05,0.00E+00,0,0,0,0,0,0,0,0.001469597,0,0,0,0,0,0,0,0,0,7,
96,116,30-Nov,6,10,DEL4,Four,Cyl,10,0.000581385,0,0,0,0.001148127,5.86E-05,0,0,0,5.28E-05,0.001032007,0,0.00E+00,0.000634692,0.003215088,0,0.000383599,0.000317679,0.004379284,8.83E-06,0,0,0,0,0,0.00E+00,0,0,0,0.000115828,0,0,0.012328824,0.001712943,0,0,0.00E+00,0,0.000894303,0,0,0,0,0,0,0,0,0,0,0,0,0.000113857,6.78E-05,0,17,
97,120,30-Nov,10,13,DEL4,Four,Cyl,12,0.000432603,0,0,0,0.0009751,0,0.000303544,0,0,0.000212677,0.000701182,0,5.74E-05,0.000488443,0.001214267,0,0,0.000419738,0.003132689,2.27E-06,4.56E-05,2.07E-05,0,0,0,0.00046352,0,0,0,0.000118855,0,0,0.003724419,0.001579014,0.000293571,0,0,0.000478694,0,0,0,0,0,0,0.000668166,0,0.011039406,1.71E-05,0,0.00E+00,0,0,0.000407415,0,23,
98,147,1-Dec,18,6,DEL4,Four,Cyl,7,0,0,0,0,0,0,0,0.002116992,0,0,0,0,5.88E-05,0.001364067,0.005325359,0,0.000970516,0,0,0,0,5.35E-05,0,0,0,0.000365076,9.01E-05,0,0,0,0,0,0.008884786,0.002654528,0,0,0,0,0.001175857,0,0,0,0,0,0,0.017977176,0.008275464,0,0,0,0,0,0.000142938,0,14,
99,180,12-Jan,7,8,DEL4,Four,Cyl,25,0,0,0,0,0,6.79E-05,0,0,0,0.000219942,0,3.60E-05,0,0,0.002321423,0,0,0,0,1.37E-05,0,0,0.000209456,0,0,0.000470735,0,0,0,0,0.000112631,0,0.008333305,0,0,0,0,0.001496458,0.000753798,0,0,4.93E-05,0,0,0.00254457,0,0.009160769,0.000388974,0,0.00E+00,0,0.000228966,0.000115898,0,17,
100,192,12-Jan,20,9,DEL4,Four,Cyl,21,0,0,7.89E-06,0,0,2.78E-05,0.001881363,0,0,0.000147666,0,0,0,0,0.001672189,0,0,0,0,0,0,0,0,0,0,0.000438206,0,0,0,0,0.000390401,0,0.001799473,0,0,0,0,0,0.000825658,0,0,3.04E-05,0,0,0.001340881,0,0.008646919,0.000117305,0,0.00E+00,0,0.000179504,1.15E-05,0,15,15.86666667
101,193,12-Jan,22,9,DEL4,Four,Cyl,27,0,0,0,0,0,0.000118571,0,0,0,2.86E-05,0,0,0.000485687,0,0.0021124,0,0,0,0,0,0,2.59E-05,9.53E-05,0,0,0,0,0,0,0,0,0,0.006873322,0,0,0,0,0,0.001038362,0,0,9.76E-06,0,0,0,0,0,0.000255961,0,0,0,0.000349488,0.000304856,0,12,
102,237,15-Jan,9,8,DEL4,Four,Cyl,32,0,0,0,0,0,0,0.000551151,0.00E+00,0,0,0,0,0,0,0.002639644,0,0,0,0,1.79E-05,0,0,0,0,0,0,0,0,0,0,5.63E-05,0,0.007708777,0,0,0,0,0,0.000501795,0,0,0,0,0,0,0,0,0.000202793,0,0,0,0.000109019,0.000478929,0,9,
103,265,22-Jan,3,6,DEL4,Four,Cyl,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131786,0,0,0,0,0,0,0.000151976,0,0,0,0,0,0,0,0,0,0,0.00627902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07E-05,0,0,0,0,0,0,4,
104,277,22-Jan,16,7,DEL4,Four,Cyl,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001647013,0,0,0,0,0,0,9.86E-05,0,0,0,0,0,0,0,0,0,0,0.003808925,0,0,0,0,0,0,0,0,5.04E-05,0,0,0,0,0,5.94E-05,0,0,0,0,0,0,5,
105,286,24-Jan,9,7,DEL4,Four,Cyl,30,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0.001203743,0,0,0.00E+00,0,0,0,0,0,0,0,0.00017386,0,0,0,0,0,0,0.003423032,0,0,0,0,0.000349412,0,0,0,0,0,0,0.001072732,0,0,0.000111133,0,0,0,0,0,0,6,12.6
106,4,13-Nov,4,7,DEM,Four,Cyl,5,0,0,0,0,0,0,0,0.000132693,0,0,0,0,0.00E+00,0,0.000445289,0,0.000363167,0,0,0,0,0,0,0,0,0,0,0,0,6.42E-05,0,0,0.004800774,0,0,0,0,0,0.000313194,0,0,0,0,0,0,0,0,6.47E-05,0,0,0,0,0,0,7,
107,35,15-Nov,5,8,DEM,Four,Cyl,6,0.000791516,0,0,0,0,0,0,0.000430986,2.81E-05,0,0,0,0.00E+00,0.000633112,0.000889509,0,0,0.000179162,0,0,0,0,0,0.011074997,0,0,0.00E+00,0,0,2.90E-05,0,0.000561923,0.006834253,0,0,0,0,0,0.000469437,0,0,0,0,0,0.001196321,0.003397807,0.003116397,1.61E-05,0,0.00E+00,0,0,1.61E-05,0,16,
108,38,15-Nov,8,7,DEM,Four,Cyl,3,0.000490448,0,0,0,0,0,0.000706021,0.000448743,3.81E-05,0,0,0,0.00E+00,0.000729125,0.001484979,0,0,0.000209671,0,0,0,0,0,0,0,0,0,0,0,2.96E-05,0,0,0.005823075,0,0,0,0,0,0.000424817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
109,47,15-Nov,20,6,DEM,Four,Cyl,1,0,0,0,0,0,0.000155017,0,0.00047981,5.68E-05,0.00E+00,0,0,0.00E+00,0.000483209,0.004075755,0,0.000903776,0,0,0,0,6.30E-05,0,0,0,0.00E+00,0,0,0,2.23E-05,0,0,0.017062203,0,0,0,0,0,0.001416523,0,0,0,0,0,0,0.003588746,0,0,0,0,0,0.000164555,0.000378485,0,13,
110,93,20-Nov,5,6,DEM,Four,Cyl,4,0,0,0,0,0,0,0,0.000218747,0,0,0,0,0.00E+00,0.000911258,0,0,0,0,0,2.05E-05,0,0,0,0,0,0,0,0,0,0,0.000442763,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001815654,0,0,3.96E-05,0,0,0,0,0.000165105,0,7,
111,95,20-Nov,7,9,DEM,Four,Cyl,2,0,0,0,0,0,9.39E-05,0,0.000468438,0,0.00E+00,0,0,0.00E+00,0.00087437,0.002451357,0,0.00064933,0,0,0,0,0,0,0,0,0.000562868,0.00E+00,0,0,0,0,0.000419599,0.007615311,0,0,0,0,0.000297325,0.000909084,0,9.61E-05,0,0,0,0.000639944,0.004348893,0.011388741,1.75E-05,0,0.000112987,0,0.000181705,0.000145216,0,18,
112,121,30-Nov,11,10,DEM,Four,Cyl,10,0.00036812,0,0,0.000167748,0,6.56E-05,0.000265051,0.000255659,0,0,0,0,0.00E+00,0.000337762,0.001515603,0,0.000319016,0.000416829,0,3.29E-05,2.38E-05,0,0,0,0,0.001377473,0.00E+00,0,0,0,0.000251227,0,0.002124162,0,0,0,0,0,0.000437073,0,0,0,0,0,0,0.002601056,0.016683245,0,0,0,0,0.000186706,0.000324142,0,19,
113,123,30-Nov,13,11,DEM,Four,Cyl,7,0.000726101,0,0,0,0.001511228,9.08E-05,0,0.000600416,0,0.00E+00,0.000979803,0,0.00E+00,0.001263621,0.002189115,0,0.00072365,0.000264728,0.004379939,8.78E-06,0,6.44E-06,0.000265577,0,0,0.000447209,0,0,0,0.000104535,0,0.000225171,0.005980703,0.001497687,0,0,0,0.001184792,0.000676755,0,0,0,0,0,0,0.003868202,0.012575249,0.000109521,0,4.57E-05,0,0.000153424,0,0,25,
114,138,1-Dec,7,10,DEM,Four,Cyl,12,0.000472883,0,0,0,0,0,0,0.000255622,3.04E-05,0.00E+00,0,0,0.00E+00,0.000761001,0.004004951,9.99E-05,0.001050647,0,0.000118991,0,7.66E-05,0,1.71E-05,0,0,0.001261042,0,0,0,0,0,0,0.005479167,0.001230403,0,0,0,0.000305896,0.000887685,0,4.31E-05,0,0,0,0,0.002578338,0.025668915,2.61E-05,0,0,0,5.73E-05,0.000251049,0,21,
115,140,1-Dec,10,10,DEM,Four,Cyl,11,0.000594671,0,0,0,0.003500521,0,0.000265829,0.000460885,0,0,0,0,0.00E+00,0.000667829,0.002501703,2.62E-05,0.000281135,0,0.000101965,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007559204,0.001985068,0,0,0,0,0.00069439,0,0,1.67E-05,0,0,0,0.003838164,0,1.55E-05,0,2.77E-06,0,0,1.04E-05,0,17,
116,190,12-Jan,18,10,DEM,Four,Cyl,28,0,0,0,0.000174915,0,0.000152115,0,0.000295009,0,0,0,8.39E-05,0,0,0.003057927,0,0.001239772,0,0,0,7.22E-05,0,0,0,0,0.002599676,0,0,0,0,0.001339458,0,0.008679997,0,0,0,0,0.00329476,0.000632987,0,0,0,0,0,0.001455916,0.002687133,0.073373553,8.28E-05,0,6.78E-06,0,0.000183013,6.14E-06,0,19,
117,191,12-Jan,19,9,DEM,Four,Cyl,29,0,0,0,0,0,0,0.000799173,0.000109735,0,0,0,0,0,0,0.001397567,0,0.000442367,0,0,0,0,0,0,0,0,0.000339609,0,0,0,0,0,0.000366691,0.002380814,0,0,0,0,0,0.000413862,0,0,2.43E-05,0,0,0.002304447,0,0.005079378,0.000179394,0,0,0,2.61E-05,4.65E-05,0,14,
118,253,20-Jan,8,6,DEM,Four,Cyl,20,0,0,0,0,0.001481884,2.98E-05,4.56E-05,2.00E-05,0,0,8.65E-05,0,0,0,0.003559487,0,0.000568051,0.000119326,0,0,0,0.000563371,0,0,0,0,0,0,0,0,0,0,0.006030198,0,0,0,0,0,0.000788925,0,7.96E-05,1.93E-05,0,0,0.001026852,0,0,2.04E-05,0,0,0,7.15E-05,0,0,16,
119,278,22-Jan,17,9,DEM,Four,Cyl,34,0,0,0,0,0,0,4.81E-05,0.000275911,0,0,0,0,0,0,0.000613391,0,0,0,0,0,0,0.000547471,5.14E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000160464,0,0,0,0,0,0,0.003274131,0,0.000414072,0,0,0,0,0.000309884,0,9,
120,290,24-Jan,13,6,DEM,Four,Cyl,33,0,0,0,0,0.001938998,6.72E-05,0.000206225,0.000200543,0,0,0,0,0.00E+00,0,0.003349038,0,0.000303541,0.00E+00,0.000140718,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006321077,0,0.00E+00,0,0,0,0.000607501,0,0,0,0,0,0.001121488,0,0,0,0,0,0,0,0.000276596,0,11,15.26666667
121,6,13-Nov,9,9,MCK,Four,Cyl,1,0,0,0,0,0,0,8.94E-05,0.000486201,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63E-05,0,0,0.042665944,0,0,0,0,0,0.000498109,0,0.000956982,0,0,0,0,0,0,0,0,0,0,0,0,0.003622991,0,0,0,0,0,0,0,0,7,
