Plant,Site,Species,N.fl.N,Mass.fl.N,N.fl.W,Mass.fl.W,Compound,Con.N,Con.N.mass,Con.N.time,Con.N.t.mass,Con.W,Con.W.mass,Con.W.time,Con.W.t.mass,Difference
MHG Cyl 1,MHG,Cyl,6,0.55452,6,0.55452,cis 3 hexen 1 ol,0.000104295,0.005736225,0.000956038,0.001724081,0.000311795,0.017148725,0.002858121,0.005154225,0.003430144
MHG Cyl 10,MHG,Cyl,6,0.55452,9,0.83178,cis 3 hexen 1 ol,0.000302295,0.016626225,0.002771038,0.004997182,0.000908545,0.049969975,0.008328329,0.010012659,0.005015476
MHG Cyl 11,MHG,Cyl,7,0.64694,8,0.73936,cis 3 hexen 1 ol,0.000361295,0.019871225,0.003311871,0.005119286,0.001866545,0.102659975,0.017109996,0.02314163,0.018022344
MHG Cyl 12,MHG,Cyl,8,0.73936,8,0.73936,cis 3 hexen 1 ol,0.000237045,0.013037475,0.002172913,0.00293891,0.000120795,0.006643725,0.001107288,0.00149763,-0.00144128
MHG Cyl 13,MHG,Cyl,7,0.64694,11,1.01662,cis 3 hexen 1 ol,0.000050045,0.002752475,0.000458746,0.000709101,0.001212045,0.066662475,0.011110413,0.010928776,0.010219675
MHG Cyl 14,MHG,Cyl,7,0.64694,7,0.64694,cis 3 hexen 1 ol,0.001757545,0.096664975,0.016110829,0.024903127,0.001220045,0.067102475,0.011183746,0.017287145,-0.007615982
MHG Cyl 15,MHG,Cyl,8,0.73936,7,0.64694,cis 3 hexen 1 ol,0.002175795,0.119668725,0.019944788,0.026975746,0.003143045,0.172867475,0.028811246,0.044534649,0.017558903
MHG Cyl 19,MHG,Cyl,6,0.55452,7,0.64694,cis 3 hexen 1 ol,0.000085295,0.004691225,0.000781871,0.001409996,0.001271795,0.069948725,0.011658121,0.018020405,0.016610409
MHG Cyl 7,MHG,Cyl,8,0.73936,8,0.73936,cis 3 hexen 1 ol,0.000288795,0.015883725,0.002647288,0.003580512,0.000788045,0.043342475,0.007223746,0.009770269,0.006189756
MHG Cyl 8,MHG,Cyl,6,0.55452,6,0.55452,cis 3 hexen 1 ol,0.002015295,0.110841225,0.018473538,0.033314466,0.002902045,0.159612475,0.026602079,0.047973165,0.014658699
SC Cyl 10,SC,Cyl,6,0.79458,4,0.52972,cis 3 hexen 1 ol,0.000334045,0.018372475,0.003062079,0.003853708,0.000456545,0.025109975,0.004184996,0.007900392,0.004046685
SC Cyl 13,SC,Cyl,8,1.05944,6,0.79458,cis 3 hexen 1 ol,0.007423295,0.408281225,0.068046871,0.064229094,0.003719545,0.204574975,0.034095829,0.042910505,-0.021318588
SC Cyl 17,SC,Cyl,7,0.92701,9,1.19187,cis 3 hexen 1 ol,0.000475295,0.026141225,0.004356871,0.004699918,0.003699045,0.203447475,0.033907913,0.028449338,0.02374942
SC Cyl 18,SC,Cyl,6,0.79458,7,0.92701,cis 3 hexen 1 ol,0.000416545,0.022909975,0.003818329,0.004805469,0.001032795,0.056803725,0.009467288,0.010212713,0.005407245
SC Cyl 19,SC,Cyl,6,0.79458,7,0.92701,cis 3 hexen 1 ol,0.002024295,0.111336225,0.018556038,0.023353265,0.002913045,0.160217475,0.026702913,0.02880542,0.005452155
SC Cyl 2,SC,Cyl,6,0.79458,6,0.79458,cis 3 hexen 1 ol,0.000902295,0.049626225,0.008271038,0.01040932,0.000542795,0.029853725,0.004975621,0.006261951,-0.004147369
SC Cyl 20,SC,Cyl,6,0.79458,6,0.79458,cis 3 hexen 1 ol,0.001260295,0.069316225,0.011552704,0.014539385,0.001296295,0.071296225,0.011882704,0.014954698,0.000415314
SC Cyl 4,SC,Cyl,7,0.92701,8,1.05944,cis 3 hexen 1 ol,0.001360795,0.074843725,0.012473954,0.013456116,0.001305295,0.071791225,0.011965204,0.011293895,-0.002162221
SC Cyl 8,SC,Cyl,6,0.79458,8,1.05944,cis 3 hexen 1 ol,0.002200295,0.121016225,0.020169371,0.025383688,0.001256795,0.069123725,0.011520621,0.010874255,-0.014509433
SC Cyl 9,SC,Cyl,7,0.92701,9,1.19187,cis 3 hexen 1 ol,0.000739045,0.040647475,0.006774579,0.007307989,0.005630545,0.309679975,0.051613329,0.043304496,0.035996506
SC Ung 1,SC,Ung,7,0.60102,6,0.51516,cis 3 hexen 1 ol,0.001373295,0.075531225,0.012588538,0.020945289,0.004634545,0.254899975,0.042483329,0.082466281,0.061520992
SC Ung 10,SC,Ung,7,0.60102,8,0.68688,cis 3 hexen 1 ol,0.000698545,0.038419975,0.006403329,0.010654103,0.002747295,0.151101225,0.025183538,0.036663664,0.026009561
SC Ung 12,SC,Ung,6,0.51516,7,0.60102,cis 3 hexen 1 ol,0,0,0,0,0.001482295,0.081526225,0.013587704,0.02260774,0.02260774
SC Ung 15,SC,Ung,6,0.51516,7,0.60102,cis 3 hexen 1 ol,0,0,0,0,0.001955795,0.107568725,0.017928121,0.029829491,0.029829491
SC Ung 17,SC,Ung,8,0.68688,9,0.77274,cis 3 hexen 1 ol,0.000728295,0.040056225,0.006676038,0.009719365,0.002345295,0.128991225,0.021498538,0.027821179,0.018101813
SC Ung 19,SC,Ung,7,0.60102,6,0.51516,cis 3 hexen 1 ol,0,0,0,0,0.000133045,0.007317475,0.001219579,0.002367379,0.002367379
SC Ung 2,SC,Ung,6,0.51516,7,0.60102,cis 3 hexen 1 ol,0.003060295,0.168316225,0.028052704,0.054454352,0.001557545,0.085664975,0.014277496,0.023755442,-0.03069891
SC Ung 20,SC,Ung,8,0.68688,8,0.68688,cis 3 hexen 1 ol,0.000012545,0.000689975,0.000114996,0.000167418,0.000777795,0.042778725,0.007129788,0.010379961,0.010212543
SC Ung 5,SC,Ung,7,0.60102,7,0.60102,cis 3 hexen 1 ol,0.010968795,0.603283725,0.100547288,0.167294412,0.002274545,0.125099975,0.020849996,0.034691018,-0.132603394
SC Ung 9,SC,Ung,7,0.60102,8,0.68688,cis 3 hexen 1 ol,0.000525045,0.028877475,0.004812913,0.008007907,0.001985295,0.109191225,0.018198538,0.026494493,0.018486586
GRCO Ung 11,GRCO,Ung,6,0.73488,7,0.85736,cis 3 hexenyl acetate,0.003785875,0.208223125,0.034703854,0.047223838,0.006164375,0.339040625,0.056506771,0.065907869,0.018684031
GRCO Ung 12,GRCO,Ung,6,0.73488,6,0.73488,cis 3 hexenyl acetate,0.007255375,0.399045625,0.066507604,0.090501312,0.015756375,0.866600625,0.144433438,0.196540167,0.106038855
GRCO Ung 14,GRCO,Ung,6,0.73488,6,0.73488,cis 3 hexenyl acetate,0.009724875,0.534868125,0.089144688,0.121305094,0.026968875,1.483288125,0.247214688,0.336401437,0.215096343
GRCO Ung 15,GRCO,Ung,6,0.73488,6,0.73488,cis 3 hexenyl acetate,0.013383375,0.736085625,0.122680938,0.166940096,0.019839875,1.091193125,0.181865521,0.247476488,0.080536392
GRCO Ung 17,GRCO,Ung,6,0.73488,6,0.73488,cis 3 hexenyl acetate,0.004071375,0.223925625,0.037320938,0.050785077,0.008219375,0.452065625,0.075344271,0.102525951,0.051740874
GRCO Ung 18,GRCO,Ung,7,0.85736,7,0.85736,cis 3 hexenyl acetate,0.016997375,0.934855625,0.155809271,0.181731444,0.013219375,0.727065625,0.121177604,0.141338066,-0.040393378
