Plant,Site,Species,Compound,Type,Con
,MCK,Cyl,cis 3 hexenyl acetate,First CG,0.161422656
,MCK,Cyl,cis 3 hexenyl acetate,First CG,0.078704363
,MCK,Cyl,cis 3 hexenyl acetate,First CG,0.321684082
,MCK,Cyl,cis 3 hexenyl acetate,First CG,0.240551717
,MCK,Cyl,cis 3 hexenyl acetate,First CG,0.19644794
,MCK,Cyl,cis 3 hexenyl acetate,First CG,0.133748684
,MCK,Cyl,cis 3 hexenyl acetate,First CG,0.204057773
,MCK,Cyl,cis 3 hexenyl acetate,First CG,0.084870563
,MCK,Cyl,cis 3 hexenyl acetate,First CG,0.033233647
,MCK,Cyl,cis 3 hexenyl acetate,First CG,0
,MCK,Cyl,cis 3 hexenyl acetate,First CG,0.61013057
,MCK,Cyl,cis 3 hexenyl acetate,First CG,0.139554099
,MCK,Cyl,cis 3 hexenyl acetate,First CG,0
,MCK,Cyl,cis 3 hexenyl acetate,First CG,0.464222246
,GRCO,Ung,cis 3 hexen 1 ol,First CG,0.011509516
,GRCO,Ung,cis 3 hexen 1 ol,First CG,0.019033039
,GRCO,Ung,cis 3 hexen 1 ol,First CG,0.00193137
,GRCO,Ung,cis 3 hexen 1 ol,First CG,0.011541576
,GRCO,Ung,cis 3 hexen 1 ol,First CG,0.002798428
,GRCO,Ung,cis 3 hexen 1 ol,First CG,0.014613271
,GRCO,Ung,cis 3 hexen 1 ol,First CG,0.004314463
,GRCO,Ung,cis 3 hexen 1 ol,First CG,0.011688182
,GRCO,Ung,cis 3 hexen 1 ol,First CG,0.010285523
,GRCO,Ung,cis 3 hexen 1 ol,First CG,0.02181979
,GRCO,Ung,cis 3 hexen 1 ol,First CG,0.005811665
,GRCO,Ung,cis 3 hexen 1 ol,First CG,0
,GRCO,Ung,cis 3 hexen 1 ol,First CG,0.003907657
,GRCO,Ung,cis 3 hexen 1 ol,First CG,0.019621762
,GRCO,Ung,cis 3 hexen 1 ol,First CG,0.0177683
,GRCO,Ung,cis 3 hexenyl acetate,First CG,0.05711407
,GRCO,Ung,cis 3 hexenyl acetate,First CG,0.217158712
,GRCO,Ung,cis 3 hexenyl acetate,First CG,0.010191339
,GRCO,Ung,cis 3 hexenyl acetate,First CG,0.086071848
,GRCO,Ung,cis 3 hexenyl acetate,First CG,0.030211341
,GRCO,Ung,cis 3 hexenyl acetate,First CG,0.366760461
,GRCO,Ung,cis 3 hexenyl acetate,First CG,0.018265602
,GRCO,Ung,cis 3 hexenyl acetate,First CG,0.075074236
,GRCO,Ung,cis 3 hexenyl acetate,First CG,0.171995694
,GRCO,Ung,cis 3 hexenyl acetate,First CG,0.479761601
,GRCO,Ung,cis 3 hexenyl acetate,First CG,0.124306704
,GRCO,Ung,cis 3 hexenyl acetate,First CG,0.014923445
,GRCO,Ung,cis 3 hexenyl acetate,First CG,0.066141111
,GRCO,Ung,cis 3 hexenyl acetate,First CG,0.310437963
,GRCO,Ung,cis 3 hexenyl acetate,First CG,0.719875218
,SC,Ung,cis 3 hexen 1 ol,First CG,0.016969469
,SC,Ung,cis 3 hexen 1 ol,First CG,0
,SC,Ung,cis 3 hexen 1 ol,First CG,0.033254273
,SC,Ung,cis 3 hexen 1 ol,First CG,0.004628192
,SC,Ung,cis 3 hexen 1 ol,First CG,0.007689862
,SC,Ung,cis 3 hexen 1 ol,First CG,0.001556426
,SC,Ung,cis 3 hexen 1 ol,First CG,0.008630754
,SC,Ung,cis 3 hexen 1 ol,First CG,0.014522275
,SC,Ung,cis 3 hexen 1 ol,First CG,0.004632056
,SC,Ung,cis 3 hexen 1 ol,First CG,0.011539366
,SC,Ung,cis 3 hexen 1 ol,First CG,0.038150088
,SC,Ung,cis 3 hexen 1 ol,First CG,0.004610722
,SC,Ung,cis 3 hexen 1 ol,First CG,0.010749745
,SC,Ung,cis 3 hexen 1 ol,First CG,0.003486837
,SC,Ung,cis 3 hexen 1 ol,First CG,0.009511625
,SC,Ung,cis 3 hexenyl acetate,First CG,0.444578953
,SC,Ung,cis 3 hexenyl acetate,First CG,0.026435091
,SC,Ung,cis 3 hexenyl acetate,First CG,0.629371677
,SC,Ung,cis 3 hexenyl acetate,First CG,0.143377716
,SC,Ung,cis 3 hexenyl acetate,First CG,0.138612594
,SC,Ung,cis 3 hexenyl acetate,First CG,0
,SC,Ung,cis 3 hexenyl acetate,First CG,0.166092329
,SC,Ung,cis 3 hexenyl acetate,First CG,0.189232896
,SC,Ung,cis 3 hexenyl acetate,First CG,0.095238165
,SC,Ung,cis 3 hexenyl acetate,First CG,0.284250072
,SC,Ung,cis 3 hexenyl acetate,First CG,0.813052441
,SC,Ung,cis 3 hexenyl acetate,First CG,0.054115158
,SC,Ung,cis 3 hexenyl acetate,First CG,0.951154512
,SC,Ung,cis 3 hexenyl acetate,First CG,0.075087629
,SC,Ung,cis 3 hexenyl acetate,First CG,0.233626658
,MCK,Ung,cis 3 hexen 1 ol,First CG,0.024183207
,MCK,Ung,cis 3 hexen 1 ol,First CG,0
,MCK,Ung,cis 3 hexen 1 ol,First CG,0
,MCK,Ung,cis 3 hexen 1 ol,First CG,0.003652523
,MCK,Ung,cis 3 hexen 1 ol,First CG,0.005512917
,MCK,Ung,cis 3 hexen 1 ol,First CG,0.01000614
,MCK,Ung,cis 3 hexen 1 ol,First CG,0.002574029
,MCK,Ung,cis 3 hexen 1 ol,First CG,0.032967309
,MCK,Ung,cis 3 hexen 1 ol,First CG,0.004260338
,MCK,Ung,cis 3 hexen 1 ol,First CG,0.00698509
,MCK,Ung,cis 3 hexen 1 ol,First CG,0.001387409
,MCK,Ung,cis 3 hexen 1 ol,First CG,0.014615074
,MCK,Ung,cis 3 hexen 1 ol,First CG,0.004139861
,MCK,Ung,cis 3 hexen 1 ol,First CG,0.006538462
,MCK,Ung,cis 3 hexen 1 ol,First CG,0.017424803
,MCK,Ung,cis 3 hexenyl acetate,First CG,0.048527139
,MCK,Ung,cis 3 hexenyl acetate,First CG,0.105547299
,MCK,Ung,cis 3 hexenyl acetate,First CG,0.021392267
,MCK,Ung,cis 3 hexenyl acetate,First CG,0.069810434
,MCK,Ung,cis 3 hexenyl acetate,First CG,0.087136843
,MCK,Ung,cis 3 hexenyl acetate,First CG,0.076466288
,MCK,Ung,cis 3 hexenyl acetate,First CG,0.070727202
,MCK,Ung,cis 3 hexenyl acetate,First CG,0.465999935
,MCK,Ung,cis 3 hexenyl acetate,First CG,0.085444922
,MCK,Ung,cis 3 hexenyl acetate,First CG,0.12524962
,MCK,Ung,cis 3 hexenyl acetate,First CG,0.022416246
,MCK,Ung,cis 3 hexenyl acetate,First CG,0.169136653
,MCK,Ung,cis 3 hexenyl acetate,First CG,0.05529646
,MCK,Ung,cis 3 hexenyl acetate,First CG,0.258127276
,MCK,Ung,cis 3 hexenyl acetate,First CG,0.443030815
