Order,Sample,er.1.hexanol,er.2.6.dimethyl.1.3.5.7.octatetraene,er.2.amino.phenyl.ethenone,er.6.Methyl.5.heptene.2.one,alloaromadendrene,alpha.humulene,alpha.pinene,alpha.terpinene,alpha.terpineol,alpha.terpinolene,benzyl.alcohol,bergamotene,beta.cadinene,beta.longipinene,beta.myrcene,beta.phellandrene,beta.pinene,beta.sesquiphellandrene,cis.3.hexen.1.ol,cis.3.hexenyl.acetate,cis.beta.ocimene,cis.DMNT,gamma.cadinene,gamma.terpinene,germacrene.D,intermedeol,limonene,linalool,methyl.salicylate,myroxide,para.cymene,sabine.hydrate,sabinene,terpinene.4.ol,trans.2.hexen.1.ol,trans.beta.caryophyllene,trans.beta.ocimene,trans.trans.alpha.farnesene,unknown.C15H24.1,unknown.C15H24.2,unknown.C15H24.3,veratrole,verbenone,Site,Species,Type
23,20A,0,0,0,0,17712,0,22596,0,0,0,46716,0,329759,0,9337,0,0,0,637384,318897,73281,312684,0,0,77753,258376,23810,0,0,79519,0,0,0,0,0,28892,3958421,0,0,0,81881,0,0,MHG,Cyl,Not Petals
24,20B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44141,0,0,0,0,0,0,0,14531,0,0,0,0,0,0,MHG,Cyl,Petals
25,21A,0,0,0,0,0,0,0,0,0,0,20201,0,346117,0,10951,0,0,0,537354,749599,36037,193480,0,0,63802,163089,11554,0,0,0,0,0,0,0,0,44945,1786358,0,0,0,81564,0,0,MHG,Cyl,3.Fl
26,21B,0,0,0,0,24484,0,0,0,0,0,0,0,354745,0,25994,6236,0,0,858655,617459,57398,726056,0,0,71138,96324,19012,0,0,0,0,0,0,0,0,41025,2771026,0,0,0,84273,0,0,MHG,Cyl,6.Fl
27,22A,0,0,0,0,0,104523,3483,0,0,0,32033,7642,303658,0,58211,3420,0,0,949330,505011,146378,1386813,0,0,71923,160686,19146,0,0,0,0,0,0,0,0,509871,6601519,0,0,0,66170,38756,0,SC,Cyl,6.Fl
28,22B,0,0,0,0,0,196481,0,0,0,0,54761,0,261264,0,31239,0,0,0,1177238,674736,136451,996649,0,0,53954,77902,13826,0,0,0,0,0,0,0,0,379517,5520015,0,0,0,41391,57495,0,SC,Cyl,3.Fl
29,23A,0,0,0,116140,0,0,0,0,0,0,0,17469,0,0,12112,0,0,0,0,0,72088,0,0,0,0,0,12474,0,0,0,0,0,0,0,0,0,2422458,0,0,0,0,33721,0,SC,Cyl,Petals
30,23B,0,0,0,51021,14262,75682,23976,0,0,0,29642,61927,334982,0,82639,8385,0,0,197783,91773,32020,0,0,0,54115,0,120700,0,0,0,0,0,0,0,0,809635,1141608,0,0,0,74744,0,0,SC,Cyl,Not Petals
31,24A,0,0,0,0,0,0,0,0,0,0,101613,0,163838,0,19699,0,0,0,411423,0,62581,119657,0,0,6980,0,0,0,0,0,0,0,0,0,0,0,1794405,0,96141,0,16859,0,0,SC,Cyl,3.Fl
32,24B,0,0,0,0,0,0,0,0,0,0,119584,0,276273,0,104417,2422,0,0,696398,80948,68387,208406,0,0,30003,0,0,0,0,0,0,0,0,0,0,18464,2122709,0,86940,0,55684,0,0,SC,Cyl,6.Fl
