Order,Run.Num,Run.Date,Run.Plant,Flower number,Avg mass,Total.mass,Site.Type,Site,Species,Plant,er.1 hexanol,er.2-amino phenyl ethenone,er.2-phenyl ethanol,"er.2,6-dimethyl-1,3,5,7 octatetraene (trans)",er.6-methyl-5-hepten-2-one,er.alloaromadendrene,er.alpha bergamotene,er.alpha humulene,er.alpha pinene,er.alpha terpineol,er.alpha terpinene,er.alpha terpinolene,er.benzyl acetate,er.benzyl alcohol,er.beta cadinene,er.beta farnesene,er.beta longipinene,er.beta myrcene,er.beta phellandrene,er.beta pinene,er.borneol,er.caryophyllene oxide,er.cinnamic alcohol,er.cis 3 hexen 1 ol,er.cis 3 hexenyl acetate,er.cis beta ocimene,er.cis jasmone,er.DMNT,er.gamma cadinene,er.gamma terpinene,er.geraniol,er.germacrene D,er.intermedeol,er.limonene,er.linalool,er.methyl nicotinate,er.methyl salicylate,er.myroxide,er.unknown C15H24.3,er.para cymene,er.patchoulane,er.sabinene,er.sabinene hydrate,er.terpinen-4-ol,er.trans 2 hexen 1 ol,er.trans beta caryophyllene,er.trans beta ocimene,er.trans cinnamic aldehyde,er.trans DMNT,er.trans trans alpha farnesene,er.unknown C15H24,er.unknown C15H24.2,er.veratrole,er.verbenone
172,228,14-Jan,19,6,0.127595,0.76557,One,S33,Ung,28,0,0,0.004317724,0.005605616,0.008810955,0,0,0,0.012461803,0,0,0.000154689,0.002039875,0,0,0,0,0.011330345,0,0.001035529,0.006671808,0,0,0.003285541,0.095510015,0.065341225,0,0,0,0.004567003,0,0,0,0.00642213,0,0,0,0.002509702,0,0.001366203,0,0.000651573,0,0,0.007876484,0.003500007,1.564566809,0,0,0,0,0,0,0
173,234,15-Jan,6,6,0.127595,0.76557,One,S33,Ung,38,0,0,0.00482861,0,0,0,0.002492774,0.01686144,0,0.006962408,0,0,0,0.035042225,0,0,0,0.005428332,0,0,0,0.002144532,0,0.017912567,0.229057601,0.005756469,0.025780718,0,0,0,0,0.063604146,0.000577743,0.007491062,0.031264619,0,0,0,0,0,0.001185085,0,0,0,0,0.232263065,0.12339737,0,0,0.005034883,0,0,0,0
174,239,15-Jan,11,8,0.127595,1.02076,One,S33,Ung,32,0,0.001009533,0.004728411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000841562,0,0,0,0,0,0.002253669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,241,15-Jan,13,7,0.127595,0.893165,One,S33,Ung,33,0,0,0.015857272,0.003122431,0,0,0,0,0.002771162,0,0,0,0,0,0,0,0,0.004872277,0,0.000365842,0.005418101,0,0,0.001707231,0,0.033939655,0,0,0,0,0,0,0,0,0,0,0,0.002793972,0,0.000867102,0,0,0,0,0.01030568,0,0.656317473,0,7.67E-05,0,0,0,0,0
176,244,15-Jan,16,6,0.127595,0.76557,One,S33,Ung,31,0,0,0,0.001202967,0,0,0,0,0.117499161,0,0,0,0,0,0,0,0,0.012521106,0,0.009388809,0.003108009,0,0,0.007818651,0.281003513,0.037726487,0,0,0,0.007364113,0.000223401,0.00E+00,0,0.015919969,0.008483071,0,0,0,0,0.0015624,0,0,0,0.002329811,0,0.002414553,0.310590711,0,0,0,0,0,0,0
177,258,20-Jan,13,8,0.127595,1.02076,One,S33,Ung,34,0,0.00186347,0,0,0.007324567,0,0,0,0.007179554,0.003311133,0.001817599,0.001586185,0,0,0,0,0.001071302,0.021156943,0.004831597,0.000574631,0,0.00027195,0,0.004253385,0.165942814,0,0.000693089,0,0.001178018,0.017389082,0,0,0,0.021834763,0,0,0,0.002495276,0,0.003600728,0,0.000552356,0.000744933,0,0,0.028715166,0,0,0,0.000385425,0,0,0,0
178,270,22-Jan,9,8,0.127595,1.02076,One,S33,Ung,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001650736,0,0.006024814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000313409,0,0,0,0,0.077085346,0,0,0,0,0,0,0
179,272,22-Jan,11,8,0.127595,1.02076,One,S33,Ung,30,0,0,0,0,0,0.00325255,0,0.002573299,0.025768742,0.005093184,0,0.000963495,0,0,0,0,0.002584024,0.013537442,0,0.002160375,0,0,0,0.019082546,0.282775464,0,0,0,0,0.007722973,0,0.005866329,0,0,0,0,0,0.001628064,0.007970255,0.004036558,0,0.001384085,0.005088327,0.02514826,0,0.011077132,0,0,0,0.000247976,0,0,0,0
180,275,22-Jan,14,7,0.127595,0.893165,One,S33,Ung,35,0,0,0.008142694,0,0,0,0.002471966,0.000654361,0,0.005172305,0,0,0,0,0,0,0,0.003402992,0,0,0,8.74E-05,0,0.010772969,0.299715768,0.004930999,0.007163505,0,0.00064905,0,0.000601075,0,0,0,0.019913194,0,0,0,0,0,0,0.000454845,0,0,0,0.014207037,0.083088518,0,0.003921907,0.00069175,0,0,0,0
181,8,13-Nov,11,7,0.08984,0.62888,Two,DVT,Ung,12,0,0.001628858,0,0,0,0,0,0,0.005632324,0,0,0,0,0,0,0,0,0,0.002557082,0.000654423,0,0,0,0.04740596,0.260414523,0,0,0,0,0.003921133,0,0.003179044,0,0,0,0.006860057,0.006937407,0,0,0,0,0,0,0,0,0.006983084,0.012895124,0,0,0.002130285,0,0,0,0
182,14,13-Nov,19,7,0.08984,0.62888,Two,DVT,Ung,10,0,0.000662825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000908247,0,0,0.015086824,0.127686766,0.021156622,0,0,0,0,0,0.013856723,0,0,0,0,0.014714853,0,0.000253478,0,0,0,0,0,0,0.003088812,0.55631529,0,0,0.003272983,0,0,0,0
183,29,14-Nov,16,7,0.08984,0.62888,Two,DVT,Ung,9,0,0.002074294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00083172,0,0,0,0,0,0.093842461,0.019367023,0,0,0,0,0,0.005255687,0,0,0,0.000499555,0.000997527,0,0,0,0,0,0.001214312,0,0,0,0.557175979,0,0,0,0,0,0,0
184,39,15-Nov,9,7,0.08984,0.62888,Two,DVT,Ung,6,0,0,0,0,0,0,0,0,0.023093982,0,0,0,0.001882573,0,0,0,0,0.00249749,0,0.002493198,0,0,0,0,0,0,0,0,0,0.000973438,0,0,0,0,0,0,0.000374558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
